date,BR13,BR12,G16/BR11,BL15/BR10,R05/BR09,BR08,BR07,BR06,BR05,BR04,BR03,BR02,BR01,BR14,BR15,BR16,BR17,BR18,BR19,BR20,BR21,BR22,BR23,BL23/BR24,G03A,G01,G02,G03,G04,G05,G06,G07,G08,O05/G09,R08/G10,G11,O04,O03,O02,O01,R09,R10/BL12,R11/G14,R12,O11/R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R22A,R23,R24,R25,R26,R27,R28,BL01,BL02,BL03,BL04,BL05,BL06,BL07,BL08,BL09,BL10,G12/BL11,BL13,O07/BL14,BL16,BL17,BL18,BL19,BL20,BL21,BL22,R02,R03,R04,R06,G13,O08/G15,G17,G18,G19,O19,O18,O17,O16,O15,O14,O13,O12,O10,O09,O06/R07,O54,O53,O52,O51,O50,O21,O20
2015/8/1,10830,22500,44320,117449,29588,20871,17684,7070,5056,19272,3630,6638,21681,13545,26941,12902,14955,8454,15059,7478,11788,14173,4408,39561,4544,24626,20093,27146,31929,27747,16843,60519,39159,53450,47655,8675,63220,45459,42825,37047,31643,350119,80718,39988,36917,51195,78651,58853,41666,19319,49303,12003,12680,29871,13927,6588,3883,16208,18219,12129,87562,11199,25110,12750,35723,29037,55112,78701,68974,43313,54192,167565,31244,67234,81843,44831,121433,29991,30244,20776,19147,17295,74435,25356,18867,10345,41811,31941,30339,35952,14582,23671,8445,4794,6997,16109,16564,20510,24797,38807,47333,20174,21281,21856,19559,20491,14507,14343
2015/8/2,10399,18269,34258,95802,22518,17159,13862,6426,4416,14747,3068,5706,20653,11276,20654,10129,11383,7061,12215,6933,10118,11690,4737,32301,4313,22129,16851,23094,26131,23967,15280,54490,32858,43107,40582,6738,54094,38920,35796,31717,22921,333298,64167,27631,33181,42079,67796,49060,43118,15481,39674,10680,10258,26150,12558,5395,3190,13498,14957,10961,83222,10305,22775,11080,31017,23398,46215,70366,58869,37516,51166,145350,24290,57749,65293,36005,102484,25700,25977,18012,16752,14787,69589,20218,16816,8481,31146,27727,24926,28772,12865,17676,6995,4065,5901,12050,14136,17537,21056,33464,41279,17007,18447,18121,17226,18421,12833,12348
2015/8/3,12094,31220,69334,95435,40209,27401,21610,7478,6018,26185,4398,7853,10464,16251,19710,30607,28217,10397,15518,6214,15302,15578,8011,54842,4127,21645,22381,29962,38229,28211,17647,51868,35564,65418,53058,14904,67636,50165,49966,39799,51169,304370,69719,46703,46554,46250,64274,52773,43803,24130,59262,14752,15943,32997,10757,7210,5421,21549,18571,13651,69910,12165,24037,13448,38126,36871,54020,72687,77509,48990,61209,135263,40813,60106,78980,46121,112137,37070,33716,29876,21469,19352,65140,31450,14130,13217,72423,35211,38855,38326,16153,20718,8931,8291,7789,16486,16371,22706,30657,53578,45369,22077,22856,23206,22086,21581,16376,15364
2015/8/4,11503,32341,73041,99313,42099,28657,22813,7582,6225,25924,4544,8032,16962,16602,20309,31578,29053,10699,16084,6355,15307,16134,8218,55147,4211,21939,22343,31153,38673,28415,18030,54048,36908,67250,56157,15219,69242,51917,50036,40365,52110,300617,73616,47380,47157,50469,68873,56554,46024,24908,59697,14962,16219,34342,11794,7495,5554,22494,19072,14291,70085,12306,23975,13369,38975,37557,56256,73505,77896,50465,53422,138890,43174,61234,82560,46548,112272,38611,33961,30790,22051,19552,54942,32476,14885,13198,74207,45577,39893,38738,16491,20869,9073,8538,8019,16815,16500,22521,31018,53502,47586,22502,23258,23988,22139,21601,16192,15444
2015/8/5,12033,32990,74395,104853,43886,29497,23432,7886,6244,26407,4528,8364,14978,17069,21320,32208,29475,10753,16365,6539,15521,16180,8624,57115,4489,21996,22995,32041,39319,29428,18238,57770,38384,68822,56475,15319,70272,53125,52011,41114,54335,313633,76607,49227,48963,50768,71411,57365,49202,25292,61423,15278,16558,34989,12464,7378,5574,22607,19400,14441,71455,12491,24812,13898,39908,38585,56488,76681,79334,50949,54075,142736,44558,63087,85730,47873,114263,38940,34752,31141,22544,20302,57664,33435,14561,13438,76032,46090,41809,39589,17242,22227,9125,8633,8197,17282,16688,23184,32043,55141,48460,22917,24180,24112,22868,22073,16874,16033
2015/8/6,13083,33076,74947,106835,44735,29055,23801,7917,6124,26289,4510,8184,14789,16875,21350,32019,29283,11094,16731,6317,15784,16605,8921,57389,4614,22579,23447,31868,40971,29927,18654,57651,38060,69329,57377,15952,70975,53124,52846,40966,53054,328532,77856,48073,48544,49312,67336,56014,47038,24862,60057,15445,16998,35083,12174,7718,5671,22506,19483,14708,71243,12061,24230,13822,40008,37726,56606,78007,80180,51321,53793,145101,44286,64676,85092,47937,121981,39666,35486,31537,22871,19344,78896,33997,14847,14015,77804,38000,42749,38492,16485,22188,8888,8560,8287,17276,16941,22648,32179,56442,50072,22664,23716,24256,23106,22324,16661,16144
2015/8/7,9842,28004,62622,88622,37687,23356,19892,7058,5311,22149,3676,6363,6786,13087,16921,28606,25942,9296,13634,4875,12969,14481,8239,48772,3884,16937,19677,26564,35022,24117,16085,41396,28631,53799,47608,12195,61016,45410,45357,35891,41316,281133,62383,39864,39831,37210,44393,43860,38491,19334,46953,12976,14214,27671,8638,5991,4824,18235,15530,11761,49310,10653,19234,11650,33903,31560,45530,69062,67764,43815,44613,120678,33302,49394,66902,38894,100374,34031,29293,27378,19953,16359,66539,28563,11475,11968,66612,32204,36854,29790,13897,18177,7430,7584,7211,15031,14336,19215,27736,48910,40699,19620,20285,21594,20294,19259,13625,14135
2015/8/8,106,275,10475,34401,5709,243,230,88,53,166,25,57,44,130,409,105,151,67,120,26,107,132,31,8146,424,5309,5890,7596,8900,7332,5243,11930,8343,12142,7942,1638,17410,12074,12183,11795,6037,77389,23001,10948,16606,2722,9360,3062,3925,1672,3386,1040,829,2061,884,563,185,733,1023,661,2469,3887,5320,3708,11273,9467,15455,22509,20417,13875,17111,56519,6781,9561,19610,8743,34786,8611,7478,4871,2568,2880,22493,6761,2732,2505,12531,5694,8863,6878,3619,5533,2595,1711,2368,5206,6185,6016,9739,15414,14147,4844,6516,7285,6361,7052,4570,4877
2015/8/9,10209,17801,35169,94110,23168,16695,13139,6051,4338,14178,2821,4630,5094,10895,21660,9974,11321,6835,11855,4950,10107,11912,4179,46229,6177,16094,16274,22540,25393,24954,14959,78263,34966,42322,40937,6506,53209,37729,36343,32062,20954,331016,66578,28133,32369,37084,58223,46062,36256,13929,40111,10543,9849,23650,10568,5650,2796,12903,14260,10223,66441,9783,20579,11296,30677,23678,46736,72529,59623,36136,47236,156285,24438,51864,66453,35134,99320,25559,26883,17488,16535,11406,83694,19943,12659,8659,32560,29035,24766,28588,12650,15668,7110,3959,5595,11994,13982,16534,21434,35893,39893,16727,18139,19066,17206,17698,12880,12690
2015/8/10,12794,32122,71544,101511,40773,28289,22828,7773,5982,28542,4366,7732,7996,16732,20131,31238,28744,10716,16086,6300,15025,16094,8104,65912,4061,20120,22869,31181,39160,28793,18048,54877,37060,66421,57941,14763,69180,51171,51006,40518,51353,327403,74601,48687,47704,47648,65862,54923,45782,24655,59641,15094,16543,33762,11670,6719,5335,22086,19126,14303,71874,12033,24133,13831,39053,37255,55708,76682,79049,50052,54393,148241,40558,63177,83570,49153,117400,37103,34101,30827,23521,19366,78419,32061,13527,13721,74990,37768,39991,39172,16692,21171,8928,8450,7806,16826,17159,22008,31497,55760,46281,22483,23615,23534,22628,22049,16394,15866
